Project ID,Start Term,X Stu First Gen No Bach ,X Stu First Gen No College ,Pell Grant?,Midterm GPA,Athlete (December),X Stu Cum Gpa (December),X Stu Housing Fall,Retained to Fall 2?,Retained to Fall 3,Fall Campus Job?,# of campus orgs (December),# Midterm D or F,% of Midterm Grades are D or F,# Non-Lab STEM Courses,# STEM Courses Earned Credit,% of STEM Courses earning credit,# Classes Passed,% of Classes Passed
1599,2019FA,No,No,No,2.5,No,1.425,RESIDENT,No,Not Applicable,No,0,0,0.00%,0,0,Not Applicable,2,50.00%
1600,2019FA,No,No,No,2.75,No,2.925,RESIDENT,Yes,Not Applicable,No,5,1,16.70%,2,2,100.00%,6,100.00%
1601,2019FA,Yes,No,Yes,2,No,2.9,RESIDENT,Yes,Not Applicable,No,0,1,25.00%,0,0,Not Applicable,3,75.00%
1602,2019FA,No,No,No,2,No,1.65,RESIDENT,Yes,Not Applicable,No,4,1,14.30%,3,3,100.00%,6,100.00%
1603,2019FA,No,No,No,1.5,Yes,1.767,RESIDENT,Yes,Not Applicable,Yes,1,2,40.00%,2,0,0.00%,3,60.00%
1604,2019FA,No,No,No,3.25,No,3.85,RESIDENT,No,Not Applicable,No,1,0,0.00%,3,3,100.00%,5,100.00%
1605,2019FA,Yes,No,Yes,2.5,No,2.6,RESIDENT,Yes,Not Applicable,No,1,0,0.00%,2,2,100.00%,4,100.00%
1606,2019FA,No,No,No,2.25,No,2.425,COMMUTER,Yes,Not Applicable,Yes,0,1,25.00%,0,0,Not Applicable,4,100.00%
1607,2019FA,No,No,No,2.75,No,2.5,RESIDENT,No,Not Applicable,No,2,0,0.00%,0,0,Not Applicable,4,100.00%
1608,2019FA,No,No,Yes,1,No,0,RESIDENT,No,Not Applicable,No,1,2,50.00%,1,0,0.00%,0,0.00%
1609,2019FA,No,No,No,2.75,No,2.975,RESIDENT,Yes,Not Applicable,No,2,0,0.00%,0,0,Not Applicable,4,100.00%
1610,2019FA,No,No,No,2,No,2.275,RESIDENT,No,Not Applicable,No,0,1,25.00%,0,0,Not Applicable,4,100.00%
1611,2019FA,No,No,No,3,No,3.35,RESIDENT,Yes,Not Applicable,Yes,4,0,0.00%,0,0,Not Applicable,4,100.00%
1612,2019FA,Yes,Yes,Yes,3.5,No,3.25,RESIDENT,Yes,Not Applicable,No,3,0,0.00%,2,2,100.00%,4,100.00%
1613,2019FA,No,No,No,3.1111,No,3.044,RESIDENT,Yes,Not Applicable,Yes,1,0,0.00%,1,1,100.00%,5,100.00%
1614,2019FA,Yes,Yes,Yes,3.5,No,3.65,RESIDENT,Yes,Not Applicable,No,1,0,0.00%,3,3,100.00%,5,100.00%
1615,2019FA,No,No,No,3.5294,No,2.824,COMMUTER,Yes,Not Applicable,Yes,1,0,0.00%,0,0,Not Applicable,5,100.00%
1616,2019FA,No,No,Yes,,No,,RESIDENT,No,Not Applicable,No,0,0,0.00%,1,0,0.00%,0,0.00%
1617,2019FA,No,No,No,2.75,No,2.325,RESIDENT,Yes,Not Applicable,No,5,0,0.00%,2,2,100.00%,4,100.00%
1618,2019FA,No,No,No,1,No,,RESIDENT,No,Not Applicable,No,0,3,60.00%,0,0,Not Applicable,0,0.00%
1619,2019FA,Yes,No,No,3.25,No,3.6,RESIDENT,No,Not Applicable,Yes,5,0,0.00%,0,0,Not Applicable,4,100.00%
1620,2019FA,No,No,Yes,1.7143,No,2.1,RESIDENT,Yes,Not Applicable,No,4,1,14.30%,3,1,33.30%,4,66.70%
1621,2019FA,No,No,Yes,3.25,No,3.6,RESIDENT,Yes,Not Applicable,No,1,0,0.00%,0,0,Not Applicable,4,100.00%
1622,2019FA,No,No,Yes,3.5,No,3.5,RESIDENT,Yes,Not Applicable,No,3,0,0.00%,2,2,100.00%,4,100.00%
1623,2019FA,Yes,No,Yes,3.4286,No,3.429,COMMUTER,No,Not Applicable,No,2,0,0.00%,0,0,Not Applicable,4,100.00%
1624,2019FA,Yes,Yes,Yes,2.0526,No,0.88,RESIDENT,Yes,Not Applicable,No,0,1,12.50%,2,2,100.00%,3,50.00%
1625,2019FA,Yes,Yes,No,3.5,Yes,3.675,RESIDENT,No,Not Applicable,No,1,0,0.00%,1,1,100.00%,4,100.00%
1626,2019FA,No,No,No,3.5,No,3.275,RESIDENT,Yes,Not Applicable,No,4,0,0.00%,0,0,Not Applicable,4,100.00%
1627,2019FA,No,No,No,3.3333,No,2.675,RESIDENT,Yes,Not Applicable,No,3,0,0.00%,0,0,Not Applicable,3,75.00%
1628,2019FA,No,No,No,3.75,Yes,3.675,RESIDENT,Yes,Not Applicable,No,3,0,0.00%,0,0,Not Applicable,4,100.00%
1629,2019FA,No,No,No,3,Yes,3.775,RESIDENT,Yes,Not Applicable,Yes,5,0,0.00%,2,2,100.00%,4,100.00%
1630,2019FA,Yes,Yes,Yes,3.4706,No,3.765,RESIDENT,Yes,Not Applicable,No,4,0,0.00%,0,0,Not Applicable,5,100.00%
1631,2019FA,No,No,No,2.4,No,1.675,RESIDENT,Yes,Not Applicable,No,0,0,0.00%,2,2,100.00%,4,80.00%
1632,2019FA,No,No,No,2,No,2.175,RESIDENT,Yes,Not Applicable,Yes,4,1,25.00%,0,0,Not Applicable,4,100.00%
1633,2019FA,No,No,Yes,3,Yes,3.367,RESIDENT,Yes,Not Applicable,No,1,0,0.00%,2,2,100.00%,3,100.00%
1634,2019FA,No,No,Yes,3.4,No,3.48,RESIDENT,Yes,Not Applicable,Yes,10,0,0.00%,0,0,Not Applicable,5,100.00%
1635,2019FA,Yes,No,No,2,No,2.45,RESIDENT,Yes,Not Applicable,No,2,2,33.30%,3,3,100.00%,5,100.00%
1636,2019FA,No,No,No,3,Yes,3.4,RESIDENT,Yes,Not Applicable,No,1,0,0.00%,1,1,100.00%,4,100.00%
