Project ID,Start Term,X Stu First Gen No Bach ,X Stu First Gen No College ,Pell Grant?,Midterm GPA,Athlete (December),X Stu Cum Gpa (December),X Stu Housing Fall,Retained to Fall 2?,Retained to Fall 3,Fall Campus Job?,# of campus orgs (December),# Midterm D or F,% of Midterm Grades are D or F,# Non-Lab STEM Courses,# STEM Courses Earned Credit,% of STEM Courses earning credit,# Classes Passed,% of Classes Passed
229,2017FA,No,No,No,1.25,No,1.233,RESIDENT,Yes,Yes,No,Data not valid,2,40.00%,0,0,Not Applicable,2,50.00%
230,2017FA,No,No,No,3.5,No,3.925,COMMUTER,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
231,2017FA,No,No,No,3.25,No,3.25,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
232,2017FA,No,No,No,3,Yes,2.9,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
233,2017FA,No,No,No,3.75,Yes,3.825,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
234,2017FA,No,No,No,4,No,4,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
235,2017FA,No,No,No,4,No,3.925,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
236,2017FA,No,No,No,2.5,No,2.35,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
237,2017FA,No,No,No,3.25,Yes,2.85,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
238,2017FA,No,No,No,1.75,No,1.925,RESIDENT,Yes,No,Yes,Data not valid,1,25.00%,0,0,Not Applicable,4,100.00%
239,2017FA,No,No,No,3,No,3.075,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
240,2017FA,No,No,No,0.75,No,0,RESIDENT,No,No,No,Data not valid,3,75.00%,2,0,0.00%,0,0.00%
241,2017FA,No,No,No,1.75,No,1.925,RESIDENT,Yes,Yes,No,Data not valid,1,25.00%,0,0,Not Applicable,4,100.00%
242,2017FA,No,No,No,1.5,No,2.667,RESIDENT,Yes,Yes,Yes,Data not valid,2,50.00%,0,0,Not Applicable,3,75.00%
243,2017FA,No,No,No,1.3333,No,2.5,RESIDENT,Yes,No,No,Data not valid,2,50.00%,0,0,Not Applicable,2,50.00%
244,2017FA,No,No,No,2.5,No,1.075,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,3,75.00%
245,2017FA,No,No,No,1.25,Yes,1.5,RESIDENT,Yes,Yes,No,Data not valid,2,50.00%,0,0,Not Applicable,4,100.00%
246,2017FA,No,No,No,1.25,No,1.35,RESIDENT,No,No,No,Data not valid,2,40.00%,2,2,100.00%,4,100.00%
247,2017FA,No,No,No,1.25,No,1.333,RESIDENT,Yes,Yes,No,Data not valid,3,60.00%,0,0,Not Applicable,3,75.00%
248,2017FA,Yes,No,Yes,2,No,2.775,RESIDENT,Yes,Yes,No,Data not valid,1,25.00%,0,0,Not Applicable,4,100.00%
249,2017FA,No,No,No,2,No,1.575,RESIDENT,Yes,No,No,Data not valid,2,50.00%,1,0,0.00%,2,50.00%
250,2017FA,No,No,No,2.5,No,2.75,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
251,2017FA,No,No,No,1,No,1.567,RESIDENT,Yes,Yes,Yes,Data not valid,2,50.00%,2,0,0.00%,2,50.00%
252,2017FA,Yes,Yes,No,3.3333,No,3.5,RESIDENT,Yes,No,No,Data not valid,0,0.00%,3,3,100.00%,5,100.00%
253,2017FA,No,No,No,3.75,No,3.925,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
254,2017FA,No,No,No,3.25,No,3.825,RESIDENT,No,No,Yes,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
255,2017FA,No,No,Yes,2.6667,No,3.08,RESIDENT,Yes,Yes,Yes,Data not valid,1,16.70%,4,4,100.00%,6,100.00%
256,2017FA,No,No,Yes,2.75,Yes,3.1,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
257,2017FA,No,No,No,0.25,No,,RESIDENT,No,No,Yes,Data not valid,4,100.00%,1,0,0.00%,0,0.00%
258,2017FA,No,No,No,3.5294,No,3.365,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
259,2017FA,No,No,No,2.75,Yes,3.325,RESIDENT,No,No,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
260,2017FA,No,No,No,3.75,No,3.675,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
261,2017FA,Yes,No,No,2.8235,No,2.118,RESIDENT,No,No,No,Data not valid,0,0.00%,1,0,0.00%,4,80.00%
262,2017FA,No,No,No,4,No,4,RESIDENT,No,No,Yes,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
263,2017FA,No,No,No,3.5,No,3.85,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
264,2017FA,No,No,No,3.75,No,3.675,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,5,100.00%
265,2017FA,No,No,No,3.75,No,3.85,RESIDENT,No,No,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
266,2017FA,No,No,No,3.25,No,3.175,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
267,2017FA,Unknown,Unknown,Yes,4,No,3.675,COMMUTER,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
268,2017FA,No,No,No,1,No,1.9,RESIDENT,Yes,Yes,No,Data not valid,3,75.00%,0,0,Not Applicable,3,75.00%
269,2017FA,No,No,No,4,No,3.9,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,3,100.00%
270,2017FA,Yes,Yes,Yes,0.25,No,,COMMUTER,No,No,No,Data not valid,4,80.00%,0,0,Not Applicable,0,Not Applicable
271,2017FA,Yes,No,No,3.75,No,3.675,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
272,2017FA,No,No,No,1,No,1.425,RESIDENT,No,No,No,Data not valid,2,50.00%,1,1,100.00%,3,75.00%
273,2017FA,No,No,No,3.3333,No,1.667,RESIDENT,No,Yes,No,Data not valid,0,0.00%,2,2,100.00%,2,50.00%
274,2017FA,No,No,No,3.5,No,3.925,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
275,2017FA,No,No,No,3.5,No,3.5,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
276,2017FA,No,No,No,1.75,Yes,1.9,RESIDENT,No,No,Yes,Data not valid,1,25.00%,1,1,100.00%,3,75.00%
277,2017FA,No,No,No,3,Yes,2.85,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
278,2017FA,No,No,No,2.25,No,2,RESIDENT,No,No,No,Data not valid,1,25.00%,0,0,Not Applicable,4,100.00%
279,2017FA,Yes,Yes,No,3,No,2.925,RESIDENT,Yes,No,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
280,2017FA,No,No,No,3.25,No,3.175,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,3,2,66.70%,4,80.00%
281,2017FA,No,No,No,2.75,No,2.35,RESIDENT,No,No,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
282,2017FA,No,No,No,3.25,Yes,3.425,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
283,2017FA,No,No,No,2.75,Yes,2.825,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
284,2017FA,No,No,No,4,No,3.825,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
285,2017FA,No,No,No,2.75,Yes,3.15,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
286,2017FA,No,No,No,2,No,2.5,COMMUTER,No,No,No,Data not valid,1,16.70%,2,1,50.00%,4,80.00%
287,2017FA,No,No,No,3.5,No,3.525,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
288,2017FA,Yes,No,No,1.75,No,1,RESIDENT,Yes,Yes,No,Data not valid,2,40.00%,2,1,50.00%,3,75.00%
289,2017FA,Yes,No,No,3,No,3.1,RESIDENT,No,No,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
290,2017FA,Yes,Yes,Yes,3.3333,No,3,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,1,1,100.00%,3,75.00%
291,2017FA,Yes,No,Yes,0.6667,No,0.37,RESIDENT,No,No,Yes,Data not valid,5,83.30%,0,0,Not Applicable,2,33.30%
292,2017FA,No,No,No,4,No,3.925,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,5,100.00%
293,2017FA,No,No,No,2.75,No,3.175,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
294,2017FA,Unknown,Unknown,No,4,No,4,RESIDENT,No,No,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
295,2017FA,Yes,No,Yes,2.5,Yes,2.175,RESIDENT,Yes,No,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
296,2017FA,No,No,No,2.5,Yes,2.925,RESIDENT,No,No,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
297,2017FA,Yes,No,Yes,2.6,No,2.925,RESIDENT,Yes,Yes,No,Data not valid,1,20.00%,2,1,50.00%,4,80.00%
298,2017FA,Yes,No,Yes,3.5556,No,3.425,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,3,3,100.00%,5,100.00%
299,2017FA,Yes,No,Yes,2.75,No,2.075,RESIDENT,No,No,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
300,2017FA,No,No,No,2.25,No,2.425,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
301,2017FA,No,No,No,2,No,1.75,RESIDENT,No,No,No,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
302,2017FA,Yes,Yes,Yes,2.75,No,3.5,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
303,2017FA,No,No,Yes,3.75,No,3.575,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
304,2017FA,No,No,No,3.75,No,3.675,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
305,2017FA,No,No,No,4,No,3.675,RESIDENT,No,No,Yes,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
306,2017FA,Yes,Yes,No,3,No,3.25,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
307,2017FA,No,No,No,2.25,No,2.15,RESIDENT,Yes,Yes,No,Data not valid,1,25.00%,0,0,Not Applicable,4,100.00%
308,2017FA,No,No,No,3.25,No,3.35,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
309,2017FA,No,No,No,2.5,No,3.5,RESIDENT,Yes,Yes,No,Data not valid,2,50.00%,0,0,Not Applicable,4,100.00%
310,2017FA,No,No,No,3.5294,No,2.894,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
311,2017FA,No,No,No,3.5,No,3.575,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
312,2017FA,No,No,No,3,Yes,2.425,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
313,2017FA,No,No,No,3.25,No,3.175,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
314,2017FA,No,No,Yes,2.25,No,2.325,RESIDENT,Yes,Yes,No,Data not valid,1,25.00%,1,1,100.00%,4,100.00%
315,2017FA,Yes,No,Yes,3.25,No,3.575,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
316,2017FA,No,No,No,2,No,1.175,RESIDENT,No,No,No,Data not valid,1,25.00%,0,0,Not Applicable,3,75.00%
317,2017FA,No,No,No,2.25,Yes,2.667,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,3,75.00%
318,2017FA,No,No,No,3.25,No,3.85,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
319,2017FA,No,No,No,2.5,No,2.1,RESIDENT,No,No,No,Data not valid,1,20.00%,1,1,100.00%,4,100.00%
320,2017FA,No,No,No,4,Yes,3.925,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
321,2017FA,No,No,No,2.75,Yes,3.1,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
322,2017FA,No,No,No,2.25,No,2.575,RESIDENT,Yes,Yes,No,Data not valid,1,25.00%,1,1,100.00%,4,100.00%
323,2017FA,Yes,No,No,4,No,4,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
324,2017FA,No,No,No,3,No,2.925,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
325,2017FA,Yes,No,Yes,3.75,No,3.75,COMMUTER,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
326,2017FA,No,No,No,3.5,No,3.425,RESIDENT,No,No,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
327,2017FA,No,No,No,2.5,No,2.85,RESIDENT,Yes,Yes,No,Data not valid,1,20.00%,0,0,Not Applicable,4,100.00%
328,2017FA,No,No,No,2,No,1.075,RESIDENT,Yes,Yes,No,Data not valid,1,25.00%,1,1,100.00%,3,75.00%
329,2017FA,No,No,No,2,Yes,2,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
330,2017FA,No,No,No,4,No,4,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
331,2017FA,No,No,No,3.5,No,3.85,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
332,2017FA,No,No,No,3.2941,Yes,3.388,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,5,100.00%
333,2017FA,No,No,No,2.5,Yes,2.15,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
334,2017FA,No,No,No,2.75,No,3.775,RESIDENT,No,No,No,Data not valid,1,20.00%,2,2,100.00%,4,100.00%
335,2017FA,No,No,No,2.5714,No,1.233,RESIDENT,Yes,Yes,No,Data not valid,1,25.00%,3,3,100.00%,4,100.00%
336,2017FA,No,No,No,3,No,2.85,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,80.00%
337,2017FA,No,No,No,3.75,No,4,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
338,2017FA,Yes,Yes,No,3.25,No,3.25,RESIDENT,No,No,No,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
339,2017FA,Yes,Yes,No,4,No,4,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
340,2017FA,No,No,No,3,No,2.825,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
341,2017FA,Yes,Yes,Yes,2.5,No,2.1,RESIDENT,Yes,No,No,Data not valid,1,25.00%,1,1,100.00%,4,100.00%
342,2017FA,No,No,No,2.5,No,2.675,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
343,2017FA,Yes,No,No,2.75,No,3.075,RESIDENT,Yes,No,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
344,2017FA,No,No,No,3.1111,No,2.925,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,2,2,100.00%,5,100.00%
345,2017FA,No,No,No,2.25,No,2.85,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
346,2017FA,No,No,Yes,3,No,3,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
347,2017FA,Yes,No,No,0.25,No,0.425,RESIDENT,No,No,No,Data not valid,4,100.00%,0,0,Not Applicable,2,50.00%
348,2017FA,No,No,No,2.1176,No,1.341,RESIDENT,Yes,Yes,Yes,Data not valid,1,20.00%,2,2,100.00%,5,100.00%
349,2017FA,No,No,No,3.25,No,3.325,RESIDENT,No,No,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
350,2017FA,No,No,No,2.75,No,2.925,RESIDENT,Yes,No,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
351,2017FA,No,No,No,2.75,No,2.825,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
352,2017FA,No,No,No,3,No,3.075,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
353,2017FA,Yes,No,Yes,0.75,Yes,1.433,RESIDENT,No,No,No,Data not valid,3,75.00%,0,0,Not Applicable,3,75.00%
354,2017FA,Yes,Yes,No,0.75,No,2.35,RESIDENT,Yes,Yes,No,Data not valid,3,60.00%,2,0,0.00%,2,40.00%
355,2017FA,No,No,No,2.25,No,2.925,RESIDENT,Yes,Yes,No,Data not valid,1,25.00%,0,0,Not Applicable,4,100.00%
356,2017FA,No,No,Yes,1,No,0.5,RESIDENT,No,No,Yes,Data not valid,3,50.00%,2,1,50.00%,3,60.00%
357,2017FA,No,No,No,3.75,No,4,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
358,2017FA,No,No,No,2,No,2.35,RESIDENT,Yes,Yes,No,Data not valid,1,25.00%,0,0,Not Applicable,4,100.00%
359,2017FA,No,No,No,3,No,3.233,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
360,2017FA,No,No,No,3.5,No,3.675,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,5,100.00%
361,2017FA,No,No,No,2,Yes,2,RESIDENT,Yes,Yes,No,Data not valid,1,20.00%,3,3,100.00%,5,100.00%
362,2017FA,No,No,Yes,2.5,No,2.425,RESIDENT,No,No,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
363,2017FA,Yes,No,Yes,2.25,Yes,2.275,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
364,2017FA,No,No,No,3,No,2.767,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,3,75.00%
365,2017FA,Unknown,Unknown,Yes,3.75,No,3.6,RESIDENT,No,No,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
366,2017FA,Yes,No,No,1.75,No,1.775,RESIDENT,Yes,Yes,No,Data not valid,2,40.00%,0,0,Not Applicable,4,100.00%
367,2017FA,No,No,No,1.5,No,2.233,RESIDENT,Yes,No,No,Data not valid,2,40.00%,1,1,100.00%,3,75.00%
368,2017FA,Yes,No,Yes,1.5,No,2.15,RESIDENT,Yes,Yes,Yes,Data not valid,2,40.00%,1,0,0.00%,2,50.00%
369,2017FA,No,No,No,3.25,No,3.175,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
370,2017FA,No,No,No,2.75,No,2.75,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
371,2017FA,No,No,No,2,No,,RESIDENT,No,No,No,Data not valid,1,20.00%,0,0,Not Applicable,4,100.00%
372,2017FA,No,No,No,3.25,No,3.925,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
373,2017FA,No,No,Yes,3.25,No,3.425,COMMUTER,No,No,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
374,2017FA,No,No,No,3.5294,No,3.694,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,6,100.00%
375,2017FA,Yes,No,Yes,3.1111,No,1.725,RESIDENT,No,No,Yes,Data not valid,0,0.00%,3,3,100.00%,5,100.00%
376,2017FA,Yes,Yes,Yes,3,No,3.25,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
377,2017FA,No,No,No,3.25,No,2.9,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
378,2017FA,No,No,No,3.25,Yes,3,RESIDENT,No,No,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
379,2017FA,Yes,No,No,2.5,No,2.4,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
380,2017FA,No,No,No,1,No,0.467,RESIDENT,No,No,No,Data not valid,3,75.00%,0,0,Not Applicable,2,50.00%
381,2017FA,No,No,Yes,3.5,No,3.925,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
382,2017FA,No,No,Yes,3,No,2.533,COMMUTER,No,No,Yes,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
383,2017FA,Yes,No,Yes,2.5,No,2.425,RESIDENT,Yes,Yes,No,Data not valid,1,25.00%,0,0,Not Applicable,4,100.00%
384,2017FA,No,No,No,3.3333,No,2.433,RESIDENT,Yes,No,No,Data not valid,0,0.00%,0,0,Not Applicable,3,75.00%
385,2017FA,Yes,No,Yes,3,No,3.425,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
386,2017FA,No,No,No,3.75,No,3.925,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
387,2017FA,Yes,No,No,3.75,No,3.85,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
388,2017FA,Yes,No,Yes,3.75,No,3.425,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
389,2017FA,No,No,Yes,4,No,3.765,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
390,2017FA,No,No,No,3,No,2.9,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
391,2017FA,No,No,Yes,2.25,Yes,1.35,RESIDENT,Yes,Yes,No,Data not valid,1,20.00%,1,0,0.00%,3,75.00%
392,2017FA,No,No,No,1.75,Yes,1.425,RESIDENT,Yes,No,No,Data not valid,1,25.00%,0,0,Not Applicable,3,75.00%
393,2017FA,No,No,No,2.5,Yes,2.975,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
394,2017FA,Yes,No,No,3,No,3.575,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
395,2017FA,No,No,No,3.75,No,4,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
396,2017FA,Yes,No,Yes,2.75,No,2.275,RESIDENT,Yes,Yes,No,Data not valid,1,25.00%,0,0,Not Applicable,4,100.00%
397,2017FA,Yes,Yes,Yes,1.25,No,1.567,RESIDENT,Yes,Yes,No,Data not valid,3,75.00%,2,1,50.00%,3,75.00%
398,2017FA,No,No,No,3.5,Yes,3.5,RESIDENT,Yes,No,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
399,2017FA,No,No,No,3.5,No,3.75,RESIDENT,No,No,Yes,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
400,2017FA,No,No,No,3.5,No,2.925,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
401,2017FA,Yes,Yes,Yes,1.25,No,0.5,RESIDENT,No,No,No,Data not valid,2,40.00%,0,0,Not Applicable,1,25.00%
402,2017FA,No,No,No,2.5,Yes,2.85,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
403,2017FA,Yes,Yes,Yes,3.25,No,2.975,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
404,2017FA,Yes,Yes,No,3.5,No,3.775,RESIDENT,No,No,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
405,2017FA,No,No,No,4,No,3.925,COMMUTER,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
406,2017FA,No,No,Yes,2,No,1.65,RESIDENT,Yes,No,No,Data not valid,1,25.00%,0,0,Not Applicable,4,100.00%
407,2017FA,No,No,No,1.75,No,2.433,RESIDENT,Yes,Yes,No,Data not valid,1,25.00%,0,0,Not Applicable,3,75.00%
408,2017FA,No,No,Yes,2.25,No,1.825,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,3,75.00%
409,2017FA,Yes,No,No,3.5,No,3.75,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
410,2017FA,Yes,No,No,3.25,No,3.475,RESIDENT,Yes,Yes,Yes,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
411,2017FA,No,No,No,1.5,No,2.333,RESIDENT,Yes,Yes,No,Data not valid,2,33.30%,0,0,Not Applicable,3,75.00%
412,2017FA,No,No,No,2.25,Yes,1.75,RESIDENT,Yes,Yes,No,Data not valid,1,25.00%,0,0,Not Applicable,3,75.00%
413,2017FA,No,No,No,2.25,No,2.575,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
414,2017FA,No,No,No,3.7778,Yes,3.925,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,3,3,100.00%,5,100.00%
415,2017FA,No,No,No,2.5882,No,3.129,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,5,100.00%
416,2017FA,Yes,No,No,2.5,No,2.75,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
417,2017FA,No,No,No,2.5882,No,2.753,RESIDENT,Yes,Yes,No,Data not valid,1,20.00%,0,0,Not Applicable,5,100.00%
418,2017FA,Yes,No,Yes,2.5,No,2.05,RESIDENT,Yes,No,No,Data not valid,1,25.00%,0,0,Not Applicable,4,100.00%
419,2017FA,No,No,No,2,No,2,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,2,2,100.00%,4,100.00%
420,2017FA,No,No,No,2.75,No,2.6,RESIDENT,No,No,Yes,Data not valid,0,0.00%,1,1,100.00%,4,100.00%
421,2017FA,Yes,No,No,0.75,Yes,1,RESIDENT,No,No,No,Data not valid,3,50.00%,1,0,0.00%,1,20.00%
422,2017FA,No,No,Yes,2.5,Yes,2.775,RESIDENT,Yes,Yes,No,Data not valid,0,0.00%,0,0,Not Applicable,4,100.00%
423,2017FA,No,No,No,1.75,Yes,1.675,RESIDENT,Yes,No,No,Data not valid,2,50.00%,0,0,Not Applicable,4,100.00%
